Time stamp: |  Parked cars: |  new cars in: |  cars out: |  length queue: |  cars in queue: |  last wait time: | 
0           |  1            |  1            |  0         |  0             |  1              |  0               | 
1           |  1            |  0            |  0         |  0             |  1              |  4294967295      | 
2           |  1            |  0            |  0         |  1             |  1              |  4294967295      | 
3           |  1            |  0            |  0         |  2             |  1              |  4294967295      | 
4           |  1            |  0            |  0         |  3             |  1              |  4294967295      | 
5           |  1            |  0            |  0         |  4             |  1              |  4294967295      | 
6           |  1            |  1            |  1         |  4             |  1              |  4               | 
7           |  1            |  0            |  0         |  5             |  1              |  4294967295      | 
8           |  1            |  0            |  0         |  6             |  1              |  4294967295      | 
9           |  1            |  1            |  1         |  6             |  1              |  6               | 
10          |  1            |  0            |  0         |  7             |  1              |  4294967295      | 
11          |  1            |  0            |  0         |  8             |  1              |  4294967295      | 
12          |  1            |  1            |  1         |  8             |  1              |  8               | 
13          |  1            |  0            |  0         |  9             |  1              |  4294967295      | 
14          |  1            |  0            |  0         |  10            |  1              |  4294967295      | 
15          |  1            |  1            |  1         |  10            |  1              |  10              | 
16          |  1            |  0            |  0         |  11            |  1              |  4294967295      | 
17          |  1            |  0            |  0         |  12            |  1              |  4294967295      | 
18          |  1            |  0            |  0         |  12            |  1              |  4294967295      | 
19          |  1            |  0            |  0         |  13            |  1              |  4294967295      | 
20          |  1            |  0            |  0         |  14            |  1              |  4294967295      | 
21          |  1            |  1            |  1         |  14            |  1              |  15              | 
22          |  1            |  0            |  0         |  15            |  1              |  4294967295      | 
23          |  1            |  1            |  1         |  15            |  1              |  16              | 
24          |  1            |  1            |  1         |  15            |  1              |  16              | 
25          |  1            |  0            |  0         |  16            |  1              |  4294967295      | 
26          |  1            |  0            |  0         |  17            |  1              |  4294967295      | 
27          |  1            |  0            |  0         |  18            |  1              |  4294967295      | 
28          |  1            |  0            |  0         |  19            |  1              |  4294967295      | 
29          |  1            |  0            |  0         |  20            |  1              |  4294967295      | 
30          |  1            |  1            |  1         |  20            |  1              |  21              | 
31          |  1            |  0            |  0         |  21            |  1              |  4294967295      | 
32          |  1            |  0            |  0         |  22            |  1              |  4294967295      | 
33          |  1            |  0            |  0         |  23            |  1              |  4294967295      | 
34          |  1            |  0            |  0         |  24            |  1              |  4294967295      | 
35          |  1            |  0            |  0         |  25            |  1              |  4294967295      | 
36          |  1            |  1            |  1         |  25            |  1              |  26              | 
37          |  1            |  0            |  0         |  26            |  1              |  4294967295      | 
38          |  1            |  0            |  0         |  27            |  1              |  4294967295      | 
39          |  1            |  0            |  0         |  28            |  1              |  4294967295      | 
40          |  1            |  0            |  0         |  29            |  1              |  4294967295      | 
41          |  1            |  1            |  1         |  29            |  1              |  30              | 
42          |  1            |  0            |  0         |  30            |  1              |  4294967295      | 
43          |  1            |  0            |  0         |  31            |  1              |  4294967295      | 
44          |  1            |  0            |  0         |  32            |  1              |  4294967295      | 
45          |  1            |  0            |  0         |  33            |  1              |  4294967295      | 
46          |  1            |  0            |  0         |  34            |  1              |  4294967295      | 
47          |  1            |  0            |  0         |  35            |  1              |  4294967295      | 
48          |  1            |  0            |  0         |  36            |  1              |  4294967295      | 
49          |  1            |  1            |  1         |  36            |  1              |  37              | 
50          |  1            |  0            |  0         |  37            |  1              |  4294967295      | 
51          |  1            |  1            |  1         |  37            |  1              |  38              | 
52          |  1            |  0            |  0         |  38            |  1              |  4294967295      | 
53          |  1            |  0            |  0         |  39            |  1              |  4294967295      | 
54          |  1            |  0            |  0         |  40            |  1              |  4294967295      | 
55          |  1            |  0            |  0         |  41            |  1              |  4294967295      | 
56          |  1            |  0            |  0         |  42            |  1              |  4294967295      | 
57          |  1            |  1            |  1         |  42            |  1              |  43              | 
58          |  1            |  1            |  1         |  41            |  1              |  43              | 
59          |  1            |  0            |  0         |  42            |  1              |  4294967295      | 
60          |  1            |  0            |  0         |  43            |  1              |  4294967295      | 
61          |  1            |  0            |  0         |  44            |  1              |  4294967295      | 
62          |  1            |  1            |  1         |  44            |  1              |  46              | 
63          |  1            |  0            |  0         |  45            |  1              |  4294967295      | 
64          |  1            |  0            |  0         |  46            |  1              |  4294967295      | 
65          |  1            |  0            |  0         |  47            |  1              |  4294967295      | 
66          |  1            |  0            |  0         |  48            |  1              |  4294967295      | 
67          |  1            |  1            |  1         |  48            |  1              |  50              | 
68          |  1            |  0            |  0         |  49            |  1              |  4294967295      | 
69          |  1            |  0            |  0         |  50            |  1              |  4294967295      | 
70          |  1            |  0            |  0         |  50            |  1              |  4294967295      | 
71          |  1            |  0            |  0         |  51            |  1              |  4294967295      | 
72          |  1            |  0            |  0         |  52            |  1              |  4294967295      | 
73          |  1            |  0            |  0         |  53            |  1              |  4294967295      | 
74          |  1            |  0            |  0         |  54            |  1              |  4294967295      | 
75          |  1            |  0            |  0         |  54            |  1              |  4294967295      | 
76          |  1            |  1            |  1         |  54            |  1              |  57              | 
77          |  1            |  0            |  0         |  55            |  1              |  4294967295      | 
78          |  1            |  1            |  1         |  55            |  1              |  58              | 
79          |  1            |  0            |  0         |  56            |  1              |  4294967295      | 
80          |  1            |  1            |  1         |  56            |  1              |  59              | 
81          |  1            |  0            |  0         |  57            |  1              |  4294967295      | 
82          |  1            |  0            |  0         |  58            |  1              |  4294967295      | 
83          |  1            |  0            |  0         |  59            |  1              |  4294967295      | 
84          |  1            |  0            |  0         |  60            |  1              |  4294967295      | 
85          |  1            |  0            |  0         |  60            |  1              |  4294967295      | 
86          |  1            |  0            |  0         |  61            |  1              |  4294967295      | 
87          |  1            |  1            |  1         |  61            |  1              |  65              | 
88          |  1            |  0            |  0         |  62            |  1              |  4294967295      | 
89          |  1            |  0            |  0         |  63            |  1              |  4294967295      | 
90          |  1            |  0            |  0         |  64            |  1              |  4294967295      | 
91          |  1            |  1            |  1         |  64            |  1              |  68              | 
92          |  1            |  0            |  0         |  65            |  1              |  4294967295      | 
93          |  1            |  0            |  0         |  65            |  1              |  4294967295      | 
94          |  1            |  0            |  0         |  65            |  1              |  4294967295      | 
95          |  1            |  0            |  0         |  66            |  1              |  4294967295      | 
96          |  1            |  1            |  1         |  66            |  1              |  72              | 
97          |  1            |  0            |  0         |  67            |  1              |  4294967295      | 
98          |  1            |  1            |  1         |  67            |  1              |  73              | 
99          |  1            |  0            |  0         |  68            |  1              |  4294967295      | 
